"key","citation","access","status","local_filename"
"Nguyen2013MFM","Nguyen, N. V., Gilard, V., and Bingol, O. (2013). Multidisciplinary Unmanned Combat Air Vehicle system design using Multi-Fidelity Model. \textit{Aerospace Science and Technology}. doi:10.1016/j.ast.2012.12.010.","paywalled_or_mixed","missing",""
"Raymer2018","Raymer, D. P. (2018). \textit{Aircraft Design: A Conceptual Approach} (6th ed.). AIAA.","book","missing",""
"Torenbeek1982","Torenbeek, E. (1982). \textit{Synthesis of Subsonic Airplane Design}. Delft University Press.","book","missing",""
"Sharpe2021AeroSandbox","Sharpe, P. D. (2021). \textit{AeroSandbox: A Differentiable Framework for Aircraft Design Optimization}. Master's thesis, Massachusetts Institute of Technology.","likely_public","missing",""
"Bowers2023PrandtlD","Bowers, A. H., et al. (2023). Wake-Structure of the Prandtl-D. AIAA SciTech.","paywalled_or_mixed","missing",""
"Lafifi2020","Lafifi, M. M. (2020). XFLR5 Analysis of foils and wings operating at low Reynolds numbers.","unknown","missing",""
"Drela1989XFOIL","Drela, M. (1989). XFOIL: An Analysis and Design System for Low Reynolds Number Airfoils. In \textit{Low Reynolds Number Aerodynamics} (Conference Proceedings).","paywalled_or_mixed","missing",""
"Sharpe2024Graph","Sharpe, P. D. (2024). \textit{Accelerating Practical Engineering Design Optimization with Computational Graph Transformations}. Ph.D. thesis, Massachusetts Institute of Technology.","likely_public","downloaded","Sharpe2024_PhD_Thesis.pdf"
"Sharpe2025NeuralFoil","Sharpe, P. D. (2025). NeuralFoil: A physics-informed machine learning model for airfoil aerodynamics. arXiv:2503.16323.","likely_public","downloaded","Sharpe2025_NeuralFoil_arXiv2503.16323.pdf"
"Zhang2025ANNGA","Zhang, Y., et al. (2025). Aerodynamic Design Optimization for Flying Wing Gliders Based on the Combination of Artificial Neural Networks and Genetic Algorithms. \textit{Aerospace}.","paywalled_or_mixed","missing",""
"Botero2025SUAVE","Botero, E., et al. (2025). Current Capabilities and Challenges of NDARC and SUAVE for eVTOL Aircraft Design and Analysis. Stanford University.","unknown","missing",""
"Vegh2019NDARCSUAVE","Vegh, J. M., Botero, E., and coauthors (2019). Comparison of NDARC and SUAVE for an eVTOL aircraft conceptual design: Kitty Hawk Cora. Stanford University (SUAVE).","unknown","downloaded","Vegh2019_NDARC_SUAVE.pdf"
"Deperrois2009XFLR5","Deperrois, A. (2009). \textit{Guidelines for XFLR5 v6.03}. XFLR5 documentation.","paywalled_or_mixed","downloaded","Deperrois2009_XFLR5_Guidelines.pdf"
"Yu2022ICAS","Yu, A., et al. (2022). Comparing Potential Flow Solvers for Aerodynamic Characteristics Estimation of the T-Flex UAV. \textit{ICAS 2022}.","likely_public","downloaded","Yu2022_ICAS_TFLEX.pdf"
"RosasCordova2024VSPAERO","Rosas-Cordova, A., et al. (2024). Validation of VSPAERO for Basic Wing Simulation. \textit{RIMNI}.","paywalled_or_mixed","downloaded","RosasCordova2024_VSPAERO_Validation.pdf"
"Szabo2022TFlex","Szabo, A., et al. (2022). Comparing Potential Flow Solvers for Aerodynamic Characteristics Estimation of the T-Flex UAV. ICAS.","likely_public","downloaded","Yu2022_ICAS_TFLEX.pdf"
"DrelaYoungren1988","Drela, M., and Youngren, H. (1988). \textit{AVL User Primer}. MIT AeroAstro.","likely_public","downloaded","AVL_User_Primer.pdf"
"TechScience2024VSPAERO","TechScience. (2024). Validation of VSPAERO for Basic Wing Simulation. RIMNI.","unknown","downloaded","RosasCordova2024_VSPAERO_Validation.pdf"
"DrelaMotorModel","Drela, M. First-Order DC Electric Motor Model.","unknown","missing",""
"Tremblay2007Battery","Tremblay, O., Dessaint, L.-A., and Dekkiche, A. (2007). A Generic Battery Model for the Dynamic Simulation of Hybrid Electric Vehicles. \textit{IEEE Vehicle Power and Propulsion Conference}. doi:10.1109/VPPC.2007.4544139.","paywalled_or_mixed","missing",""
"IncroperaDeWitt","Incropera, F. P., and DeWitt, D. P. \textit{Fundamentals of Heat and Mass Transfer}.","book","missing",""
"Roskam","Roskam, J. \textit{Airplane Flight Dynamics and Automatic Flight Controls}.","book","missing",""
"StevensLewis","Stevens, B. L., and Lewis, F. L. \textit{Aircraft Control and Simulation}.","book","missing",""
"TimoshenkoGere","Timoshenko, S. P., and Gere, J. M. \textit{Theory of Elastic Stability}.","paywalled_or_mixed","missing",""
"Batdorf1947","Batdorf (1947). NACA TN-2661.","likely_public","missing",""
"Kreisselmeier1979","Kreisselmeier, G., and Steinhauser, R. (1979). Systematic control design by optimizing a vector performance index.","unknown","missing",""
"Lekhnitskii1968","Lekhnitskii (1968). \textit{Anisotropic Plates}.","paywalled_or_mixed","missing",""
"Whitney1987","Whitney (1987). \textit{Structural Analysis of Laminated Anisotropic Plates}.","paywalled_or_mixed","missing",""
"NASASP8007","NASA SP-8007. Buckling of Thin-Walled Circular Cylinders.","likely_public","listed_not_downloaded","NASA_SP8007_1968.pdf"
"Bruhn","Bruhn, E. F. \textit{Analysis and Design of Flight Vehicle Structures}.","book","missing",""
"Wagner1931","Wagner, H. (1931). Flat Sheet Metal Girders with Very Thin Webs. NACA TM 604-606.","likely_public","missing",""
"VonKarman1932","von Karman, T., Sechler, E. E., and Donnell, L. H. (1932). The Strength of Thin Plates in Compression.","unknown","missing",""
"Niu","Niu, M. C. Y. \textit{Airframe Structural Design}.","book","missing",""
"Megson","Megson, T. H. G. \textit{Aircraft Structures for Engineering Students}.","book","missing",""
"Kulfan2008CST","Kulfan, B. M. (2008). Universal Parametric Geometry Representation Method. \textit{Journal of Aircraft}, 45(1), 142--158. doi:10.2514/1.29958.","paywalled_or_mixed","missing",""
"Andersson2019CasADi","Andersson, J. A. E., Gillis, J., Horn, G., Rawlings, J. B., and Diehl, M. (2019). CasADi: a software framework for nonlinear optimization and optimal control. \textit{Mathematical Programming Computation}.","paywalled_or_mixed","missing",""
"Pratt2000STEP","Pratt, M. J. (2000). Introduction to ISO 10303 (STEP). NIST.","likely_public","downloaded","Pratt2000_STEP.pdf"
"Nagel2012CPACS","Nagel, B., et al. (2012). Communication in Aircraft Design: Can we establish a common language? \textit{ICAS 2012}.","likely_public","missing",""
"Berndt2009JSBSim","Berndt, J. (2009). JSBSim: An Open Source Flight Dynamics Model in C++. \textit{AIAA Modeling and Simulation Technologies Conference}. doi:10.2514/6.2009-5699.","paywalled_or_mixed","missing",""
