rank,camber_scale,alpha_break_factor,symmetric_drag_floor,cambered_drag_alpha_gain,symmetric_form_drag_gain,dataset,condition,model_CL,cfd_CL,rel_CL_error,model_CD,cfd_CD,rel_CD_error,max_rel_error,mean_rel_error
1,0.96,0.096,0.205,1.8,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0031680780792991566
1,0.96,0.096,0.205,1.8,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.02604639453179205,0.02602059475743992,0.0009915136295933719,0.012254102926460616,0.0031680780792991566
1,0.96,0.096,0.205,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0031680780792991566
1,0.96,0.096,0.205,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.0031680780792991566
2,0.965,0.096,0.205,1.8,2.2,x48_10ft,cruise,0.15626897822484084,0.1559206579013886,0.0022339587848105675,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0034556577806154217
2,0.965,0.096,0.205,1.8,2.2,x48_10ft,takeoff,0.19317628189145783,0.1935724233294682,0.0020464766168480403,0.02604638274548366,0.02602059475743992,0.0009910606688329636,0.012254102926460616,0.0034556577806154217
2,0.965,0.096,0.205,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0034556577806154217
2,0.965,0.096,0.205,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.0034556577806154217
3,0.96,0.096,0.205,1.75,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0035189611600610657
3,0.96,0.096,0.205,1.75,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.025921753491473812,0.02602059475743992,0.0037985782756886424,0.012254102926460616,0.0035189611600610657
3,0.96,0.096,0.205,1.75,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0035189611600610657
3,0.96,0.096,0.205,1.75,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.0035189611600610657
4,0.96,0.096,0.21,1.8,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.003539673625625208
4,0.96,0.096,0.21,1.8,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.02604639453179205,0.02602059475743992,0.0009915136295933719,0.012254102926460616,0.003539673625625208
4,0.96,0.096,0.21,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.003539673625625208
4,0.96,0.096,0.21,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023520693702130408,0.02344952915434802,0.0030347964478933728,0.012254102926460616,0.003539673625625208
5,0.96,0.096,0.2,1.8,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0035551816449464666
5,0.96,0.096,0.2,1.8,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.02604639453179205,0.02602059475743992,0.0009915136295933719,0.012254102926460616,0.0035551816449464666
5,0.96,0.096,0.2,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0035551816449464666
5,0.96,0.096,0.2,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023375455360556033,0.02344952915434802,0.0031588606024634445,0.012254102926460616,0.0035551816449464666
6,0.95,0.096,0.205,1.8,2.2,x48_10ft,cruise,0.15498493558549775,0.1559206579013886,0.006001272239901881,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.003709898167466464
6,0.95,0.096,0.205,1.8,2.2,x48_10ft,takeoff,0.19351208165858177,0.1935724233294682,0.0003117265871271203,0.02604641812489111,0.02602059475743992,0.000992420338270908,0.012254102926460616,0.003709898167466464
6,0.95,0.096,0.205,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.003709898167466464
6,0.95,0.096,0.205,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.003709898167466464
7,0.96,0.096,0.205,1.85,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0037668395674594086
7,0.96,0.096,0.205,1.85,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.026171035572110285,0.02602059475743992,0.005781605534875387,0.012254102926460616,0.0037668395674594086
7,0.96,0.096,0.205,1.85,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0037668395674594086
7,0.96,0.096,0.205,1.85,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.0037668395674594086
8,0.965,0.096,0.205,1.75,2.2,x48_10ft,cruise,0.15626897822484084,0.1559206579013886,0.0022339587848105675,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.003806654101567433
8,0.965,0.096,0.205,1.75,2.2,x48_10ft,takeoff,0.19317628189145783,0.1935724233294682,0.0020464766168480403,0.025921741705165424,0.02602059475743992,0.003799031236449051,0.012254102926460616,0.003806654101567433
8,0.965,0.096,0.205,1.75,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.003806654101567433
8,0.965,0.096,0.205,1.75,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.003806654101567433
9,0.965,0.096,0.21,1.8,2.2,x48_10ft,cruise,0.15626897822484084,0.1559206579013886,0.0022339587848105675,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.003827253326941473
9,0.965,0.096,0.21,1.8,2.2,x48_10ft,takeoff,0.19317628189145783,0.1935724233294682,0.0020464766168480403,0.02604638274548366,0.02602059475743992,0.0009910606688329636,0.012254102926460616,0.003827253326941473
9,0.965,0.096,0.21,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.003827253326941473
9,0.965,0.096,0.21,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023520693702130408,0.02344952915434802,0.0030347964478933728,0.012254102926460616,0.003827253326941473
10,0.965,0.096,0.2,1.8,2.2,x48_10ft,cruise,0.15626897822484084,0.1559206579013886,0.0022339587848105675,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0038427613462627317
10,0.965,0.096,0.2,1.8,2.2,x48_10ft,takeoff,0.19317628189145783,0.1935724233294682,0.0020464766168480403,0.02604638274548366,0.02602059475743992,0.0009910606688329636,0.012254102926460616,0.0038427613462627317
10,0.965,0.096,0.2,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0038427613462627317
10,0.965,0.096,0.2,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023375455360556033,0.02344952915434802,0.0031588606024634445,0.012254102926460616,0.0038427613462627317
11,0.96,0.096,0.21,1.8,2.1,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.01003111796627662,0.010007955175231063,0.0023144379286273715,0.012254102926460616,0.0038526905348910115
11,0.96,0.096,0.21,1.8,2.1,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.026046234685923313,0.02602059475743992,0.000985370577513825,0.012254102926460616,0.0038526905348910115
11,0.96,0.096,0.21,1.8,2.1,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026658948539482103,0.026849819888917242,0.007108850272545959,0.012254102926460616,0.0038526905348910115
11,0.96,0.096,0.21,1.8,2.1,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023467507733823192,0.02344952915434802,0.0007666925573146302,0.012254102926460616,0.0038526905348910115
12,0.97,0.096,0.205,1.8,2.2,x48_10ft,cruise,0.1566969924379552,0.1559206579013886,0.0049790357930480506,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0038710170705866585
12,0.97,0.096,0.205,1.8,2.2,x48_10ft,takeoff,0.19306434863574984,0.1935724233294682,0.0026247266267550614,0.026046370966002708,0.02602059475743992,0.0009906079704583505,0.012254102926460616,0.0038710170705866585
12,0.97,0.096,0.205,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0038710170705866585
12,0.97,0.096,0.205,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.0038710170705866585
13,0.96,0.096,0.21,1.75,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.003890556706387117
13,0.96,0.096,0.21,1.75,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.025921753491473812,0.02602059475743992,0.0037985782756886424,0.012254102926460616,0.003890556706387117
13,0.96,0.096,0.21,1.75,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.003890556706387117
13,0.96,0.096,0.21,1.75,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023520693702130408,0.02344952915434802,0.0030347964478933728,0.012254102926460616,0.003890556706387117
14,0.96,0.096,0.2,1.75,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.0039060647257083757
14,0.96,0.096,0.2,1.75,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.025921753491473812,0.02602059475743992,0.0037985782756886424,0.012254102926460616,0.0039060647257083757
14,0.96,0.096,0.2,1.75,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.0039060647257083757
14,0.96,0.096,0.2,1.75,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023375455360556033,0.02344952915434802,0.0031588606024634445,0.012254102926460616,0.0039060647257083757
15,0.96,0.096,0.215,1.8,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.003926777191272518
15,0.96,0.096,0.215,1.8,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.02604639453179205,0.02602059475743992,0.0009915136295933719,0.012254102926460616,0.003926777191272518
15,0.96,0.096,0.215,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.003926777191272518
15,0.96,0.096,0.215,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023593312872917598,0.02344952915434802,0.006131624973071855,0.012254102926460616,0.003926777191272518
16,0.96,0.096,0.195,1.8,2.2,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.003942285210593777
16,0.96,0.096,0.195,1.8,2.2,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.02604639453179205,0.02602059475743992,0.0009915136295933719,0.012254102926460616,0.003942285210593777
16,0.96,0.096,0.195,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.003942285210593777
16,0.96,0.096,0.195,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023302836189768843,0.02344952915434802,0.006255689127641927,0.012254102926460616,0.003942285210593777
17,0.96,0.096,0.205,1.8,2.1,x48_10ft,cruise,0.15584096401172648,0.1559206579013886,0.0005111182234269152,0.01003111796627662,0.010007955175231063,0.0023144379286273715,0.012254102926460616,0.004041370652011501
17,0.96,0.096,0.205,1.8,2.1,x48_10ft,takeoff,0.1932882151471658,0.1935724233294682,0.0014682266069411625,0.026046234685923313,0.02602059475743992,0.000985370577513825,0.012254102926460616,0.004041370652011501
17,0.96,0.096,0.205,1.8,2.1,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026658948539482103,0.026849819888917242,0.007108850272545959,0.012254102926460616,0.004041370652011501
17,0.96,0.096,0.205,1.8,2.1,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023396154895614748,0.02344952915434802,0.0022761334942785452,0.012254102926460616,0.004041370652011501
18,0.965,0.096,0.205,1.85,2.2,x48_10ft,cruise,0.15626897822484084,0.1559206579013886,0.0022339587848105675,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.004054419268775673
18,0.965,0.096,0.205,1.85,2.2,x48_10ft,takeoff,0.19317628189145783,0.1935724233294682,0.0020464766168480403,0.026171023785801897,0.02602059475743992,0.005781152574114978,0.012254102926460616,0.004054419268775673
18,0.965,0.096,0.205,1.85,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.004054419268775673
18,0.965,0.096,0.205,1.85,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.004054419268775673
19,0.95,0.096,0.205,1.75,2.2,x48_10ft,cruise,0.15498493558549775,0.1559206579013886,0.006001272239901881,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.004060554571058988
19,0.95,0.096,0.205,1.75,2.2,x48_10ft,takeoff,0.19351208165858177,0.1935724233294682,0.0003117265871271203,0.025921777084572873,0.02602059475743992,0.0037976715670111063,0.012254102926460616,0.004060554571058988
19,0.95,0.096,0.205,1.75,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.004060554571058988
19,0.95,0.096,0.205,1.75,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023448074531343222,0.02344952915434802,6.203207728496188e-05,0.012254102926460616,0.004060554571058988
20,0.95,0.096,0.21,1.8,2.2,x48_10ft,cruise,0.15498493558549775,0.1559206579013886,0.006001272239901881,0.010031184120325595,0.010007955175231063,0.002321048075037564,0.012254102926460616,0.004081493713792515
20,0.95,0.096,0.21,1.8,2.2,x48_10ft,takeoff,0.19351208165858177,0.1935724233294682,0.0003117265871271203,0.02604641812489111,0.02602059475743992,0.000992420338270908,0.012254102926460616,0.004081493713792515
20,0.95,0.096,0.21,1.8,2.2,intendedvalidation2,cruise,0.28848843432967164,0.2920674590341459,0.012254102926460616,0.026912215055230754,0.026849819888917242,0.002323857909351047,0.012254102926460616,0.004081493713792515
20,0.95,0.096,0.21,1.8,2.2,intendedvalidation2,takeoff,0.3870302270779947,0.38494661682970055,0.005412725186297612,0.023520693702130408,0.02344952915434802,0.0030347964478933728,0.012254102926460616,0.004081493713792515
