body_delta_CD,body_delta_CL,body_symmetric_relief_CL,cfd_CD,cfd_CL,condition,dataset,delta_CD,delta_CL,kind,max_rel_error,mean_rel_error,model_CD,model_CL,rank,rel_CD_error,rel_CL_error,variant_name
0.002663211336079088,0.08560284262287304,0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,fractional_unload,0.027809424649320937,0.011607260599160188,0.010031184120325595,0.15926507771664142,1,0.002321048075037564,0.021449497842473124,frac_chord_0.55_floor0.15_op2.0_rp0.5_cap0.95_ts1.00
0.007204683973114204,-0.024732484660101663,0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,fractional_unload,0.027809424649320937,0.011607260599160188,0.026100596810343726,0.19004691558299797,1,0.0030745666518991062,0.01821286155244165,frac_chord_0.55_floor0.15_op2.0_rp0.5_cap0.95_ts1.00
0.014523834157437687,-1.3203506372322056e-16,0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,fractional_unload,0.027809424649320937,0.011607260599160188,0.026912215055230754,0.28848843432967164,1,0.002323857909351047,0.012254102926460616,frac_chord_0.55_floor0.15_op2.0_rp0.5_cap0.95_ts1.00
0.0036309585393594266,-0.26922241696819155,-0.26922241696819155,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.002083610248294121,fractional_unload,0.027809424649320937,0.011607260599160188,0.024101647068427916,0.38703022707799467,1,0.027809424649320937,0.005412725186297468,frac_chord_0.55_floor0.15_op2.0_rp0.5_cap0.95_ts1.00
0.002663211336079088,0.08560284262287304,-0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,raw_target,0.027809424649320937,0.011607260599160209,0.010031184120325595,0.15926507771664142,2,0.002321048075037564,0.021449497842473124,raw_target_full
0.007204683973114204,-0.024732484660101663,-0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,raw_target,0.027809424649320937,0.011607260599160209,0.026100596810343726,0.19004691558299797,2,0.0030745666518991062,0.01821286155244165,raw_target_full
0.014523834157437687,-1.3203506372322056e-16,-0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,raw_target,0.027809424649320937,0.011607260599160209,0.026912215055230754,0.28848843432967164,2,0.002323857909351047,0.012254102926460616,raw_target_full
0.0036309585393594266,-0.2692224169681915,-0.2692224169681915,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.0020836102482941765,raw_target,0.027809424649320937,0.011607260599160209,0.024101647068427916,0.3870302270779947,2,0.027809424649320937,0.005412725186297612,raw_target_full
0.002663211336079088,0.08560284262287304,0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,fractional_unload,0.027809424649320937,0.011607260599160209,0.010031184120325595,0.15926507771664142,3,0.002321048075037564,0.021449497842473124,frac_chord_0.70_floor0.15_op1.0_rp0.5_cap0.80_ts1.00
0.007204683973114204,-0.024732484660101663,0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,fractional_unload,0.027809424649320937,0.011607260599160209,0.026100596810343726,0.19004691558299797,3,0.0030745666518991062,0.01821286155244165,frac_chord_0.70_floor0.15_op1.0_rp0.5_cap0.80_ts1.00
0.014523834157437687,-1.3203506372322056e-16,0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,fractional_unload,0.027809424649320937,0.011607260599160209,0.026912215055230754,0.28848843432967164,3,0.002323857909351047,0.012254102926460616,frac_chord_0.70_floor0.15_op1.0_rp0.5_cap0.80_ts1.00
0.0036309585393594266,-0.2692224169681915,-0.2692224169681915,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.0020836102482941765,fractional_unload,0.027809424649320937,0.011607260599160209,0.024101647068427916,0.3870302270779947,3,0.027809424649320937,0.005412725186297612,frac_chord_0.70_floor0.15_op1.0_rp0.5_cap0.80_ts1.00
0.002663211336079088,0.08560284262287304,0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,fractional_unload,0.027809424649320937,0.011607260599160209,0.010031184120325595,0.15926507771664142,4,0.002321048075037564,0.021449497842473124,frac_chord_0.70_floor0.15_op1.0_rp0.5_cap0.95_ts1.00
0.007204683973114204,-0.024732484660101663,0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,fractional_unload,0.027809424649320937,0.011607260599160209,0.026100596810343726,0.19004691558299797,4,0.0030745666518991062,0.01821286155244165,frac_chord_0.70_floor0.15_op1.0_rp0.5_cap0.95_ts1.00
0.014523834157437687,-1.3203506372322056e-16,0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,fractional_unload,0.027809424649320937,0.011607260599160209,0.026912215055230754,0.28848843432967164,4,0.002323857909351047,0.012254102926460616,frac_chord_0.70_floor0.15_op1.0_rp0.5_cap0.95_ts1.00
0.0036309585393594266,-0.2692224169681915,-0.2692224169681915,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.0020836102482941765,fractional_unload,0.027809424649320937,0.011607260599160209,0.024101647068427916,0.3870302270779947,4,0.027809424649320937,0.005412725186297612,frac_chord_0.70_floor0.15_op1.0_rp0.5_cap0.95_ts1.00
0.002663211336079088,0.08560284262287304,0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,fractional_unload,0.027809424649320937,0.011607260599160209,0.010031184120325595,0.15926507771664142,5,0.002321048075037564,0.021449497842473124,frac_chord_0.70_floor0.15_op1.0_rp1.0_cap0.80_ts1.00
0.007204683973114204,-0.024732484660101663,0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,fractional_unload,0.027809424649320937,0.011607260599160209,0.026100596810343726,0.19004691558299797,5,0.0030745666518991062,0.01821286155244165,frac_chord_0.70_floor0.15_op1.0_rp1.0_cap0.80_ts1.00
0.014523834157437687,-1.3203506372322056e-16,0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,fractional_unload,0.027809424649320937,0.011607260599160209,0.026912215055230754,0.28848843432967164,5,0.002323857909351047,0.012254102926460616,frac_chord_0.70_floor0.15_op1.0_rp1.0_cap0.80_ts1.00
0.0036309585393594266,-0.2692224169681915,-0.2692224169681915,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.0020836102482941765,fractional_unload,0.027809424649320937,0.011607260599160209,0.024101647068427916,0.3870302270779947,5,0.027809424649320937,0.005412725186297612,frac_chord_0.70_floor0.15_op1.0_rp1.0_cap0.80_ts1.00
0.002663211336079088,0.08560284262287304,0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,fractional_unload,0.027809424649320937,0.011607260599160209,0.010031184120325595,0.15926507771664142,6,0.002321048075037564,0.021449497842473124,frac_chord_0.70_floor0.15_op1.0_rp1.0_cap0.95_ts1.00
0.007204683973114204,-0.024732484660101663,0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,fractional_unload,0.027809424649320937,0.011607260599160209,0.026100596810343726,0.19004691558299797,6,0.0030745666518991062,0.01821286155244165,frac_chord_0.70_floor0.15_op1.0_rp1.0_cap0.95_ts1.00
0.014523834157437687,-1.3203506372322056e-16,0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,fractional_unload,0.027809424649320937,0.011607260599160209,0.026912215055230754,0.28848843432967164,6,0.002323857909351047,0.012254102926460616,frac_chord_0.70_floor0.15_op1.0_rp1.0_cap0.95_ts1.00
0.0036309585393594266,-0.2692224169681915,-0.2692224169681915,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.0020836102482941765,fractional_unload,0.027809424649320937,0.011607260599160209,0.024101647068427916,0.3870302270779947,6,0.027809424649320937,0.005412725186297612,frac_chord_0.70_floor0.15_op1.0_rp1.0_cap0.95_ts1.00
0.002663211336079088,0.08560284262287304,0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,fractional_unload,0.027809424649320937,0.011607260599160209,0.010031184120325595,0.15926507771664142,7,0.002321048075037564,0.021449497842473124,frac_chord_0.70_floor0.15_op1.0_rp2.0_cap0.80_ts1.00
0.007204683973114204,-0.024732484660101663,0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,fractional_unload,0.027809424649320937,0.011607260599160209,0.026100596810343726,0.19004691558299797,7,0.0030745666518991062,0.01821286155244165,frac_chord_0.70_floor0.15_op1.0_rp2.0_cap0.80_ts1.00
0.014523834157437687,-1.3203506372322056e-16,0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,fractional_unload,0.027809424649320937,0.011607260599160209,0.026912215055230754,0.28848843432967164,7,0.002323857909351047,0.012254102926460616,frac_chord_0.70_floor0.15_op1.0_rp2.0_cap0.80_ts1.00
0.0036309585393594266,-0.2692224169681915,-0.2692224169681915,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.0020836102482941765,fractional_unload,0.027809424649320937,0.011607260599160209,0.024101647068427916,0.3870302270779947,7,0.027809424649320937,0.005412725186297612,frac_chord_0.70_floor0.15_op1.0_rp2.0_cap0.80_ts1.00
0.002663211336079088,0.08560284262287304,0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,fractional_unload,0.027809424649320937,0.011607260599160209,0.010031184120325595,0.15926507771664142,8,0.002321048075037564,0.021449497842473124,frac_chord_0.70_floor0.15_op1.0_rp2.0_cap0.95_ts1.00
0.007204683973114204,-0.024732484660101663,0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,fractional_unload,0.027809424649320937,0.011607260599160209,0.026100596810343726,0.19004691558299797,8,0.0030745666518991062,0.01821286155244165,frac_chord_0.70_floor0.15_op1.0_rp2.0_cap0.95_ts1.00
0.014523834157437687,-1.3203506372322056e-16,0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,fractional_unload,0.027809424649320937,0.011607260599160209,0.026912215055230754,0.28848843432967164,8,0.002323857909351047,0.012254102926460616,frac_chord_0.70_floor0.15_op1.0_rp2.0_cap0.95_ts1.00
0.0036309585393594266,-0.2692224169681915,-0.2692224169681915,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.0020836102482941765,fractional_unload,0.027809424649320937,0.011607260599160209,0.024101647068427916,0.3870302270779947,8,0.027809424649320937,0.005412725186297612,frac_chord_0.70_floor0.15_op1.0_rp2.0_cap0.95_ts1.00
0.002663211336079088,0.08560284262287304,0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,fractional_unload,0.027809424649320937,0.011607260599160209,0.010031184120325595,0.15926507771664142,9,0.002321048075037564,0.021449497842473124,frac_chord_0.70_floor0.15_op1.5_rp0.5_cap0.80_ts1.00
0.007204683973114204,-0.024732484660101663,0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,fractional_unload,0.027809424649320937,0.011607260599160209,0.026100596810343726,0.19004691558299797,9,0.0030745666518991062,0.01821286155244165,frac_chord_0.70_floor0.15_op1.5_rp0.5_cap0.80_ts1.00
0.014523834157437687,-1.3203506372322056e-16,0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,fractional_unload,0.027809424649320937,0.011607260599160209,0.026912215055230754,0.28848843432967164,9,0.002323857909351047,0.012254102926460616,frac_chord_0.70_floor0.15_op1.5_rp0.5_cap0.80_ts1.00
0.0036309585393594266,-0.2692224169681915,-0.2692224169681915,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.0020836102482941765,fractional_unload,0.027809424649320937,0.011607260599160209,0.024101647068427916,0.3870302270779947,9,0.027809424649320937,0.005412725186297612,frac_chord_0.70_floor0.15_op1.5_rp0.5_cap0.80_ts1.00
0.002663211336079088,0.08560284262287304,0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,fractional_unload,0.027809424649320937,0.011607260599160209,0.010031184120325595,0.15926507771664142,10,0.002321048075037564,0.021449497842473124,frac_chord_0.70_floor0.15_op1.5_rp0.5_cap0.95_ts1.00
0.007204683973114204,-0.024732484660101663,0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,fractional_unload,0.027809424649320937,0.011607260599160209,0.026100596810343726,0.19004691558299797,10,0.0030745666518991062,0.01821286155244165,frac_chord_0.70_floor0.15_op1.5_rp0.5_cap0.95_ts1.00
0.014523834157437687,-1.3203506372322056e-16,0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,fractional_unload,0.027809424649320937,0.011607260599160209,0.026912215055230754,0.28848843432967164,10,0.002323857909351047,0.012254102926460616,frac_chord_0.70_floor0.15_op1.5_rp0.5_cap0.95_ts1.00
0.0036309585393594266,-0.2692224169681915,-0.2692224169681915,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.0020836102482941765,fractional_unload,0.027809424649320937,0.011607260599160209,0.024101647068427916,0.3870302270779947,10,0.027809424649320937,0.005412725186297612,frac_chord_0.70_floor0.15_op1.5_rp0.5_cap0.95_ts1.00
0.002663211336079088,0.08560284262287304,0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,fractional_unload,0.027809424649320937,0.011607260599160209,0.010031184120325595,0.15926507771664142,11,0.002321048075037564,0.021449497842473124,frac_chord_0.70_floor0.15_op1.5_rp1.0_cap0.80_ts1.00
0.007204683973114204,-0.024732484660101663,0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,fractional_unload,0.027809424649320937,0.011607260599160209,0.026100596810343726,0.19004691558299797,11,0.0030745666518991062,0.01821286155244165,frac_chord_0.70_floor0.15_op1.5_rp1.0_cap0.80_ts1.00
0.014523834157437687,-1.3203506372322056e-16,0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,fractional_unload,0.027809424649320937,0.011607260599160209,0.026912215055230754,0.28848843432967164,11,0.002323857909351047,0.012254102926460616,frac_chord_0.70_floor0.15_op1.5_rp1.0_cap0.80_ts1.00
0.0036309585393594266,-0.2692224169681915,-0.2692224169681915,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.0020836102482941765,fractional_unload,0.027809424649320937,0.011607260599160209,0.024101647068427916,0.3870302270779947,11,0.027809424649320937,0.005412725186297612,frac_chord_0.70_floor0.15_op1.5_rp1.0_cap0.80_ts1.00
0.002663211336079088,0.08560284262287304,0.0,0.010007955175231063,0.1559206579013886,cruise,x48_10ft,2.3228945094532286e-05,0.003344419815252825,fractional_unload,0.027809424649320937,0.011607260599160209,0.010031184120325595,0.15926507771664142,12,0.002321048075037564,0.021449497842473124,frac_chord_0.70_floor0.15_op1.5_rp1.0_cap0.95_ts1.00
0.007204683973114204,-0.024732484660101663,0.0,0.02602059475743992,0.1935724233294682,takeoff,x48_10ft,8.000205290380549e-05,-0.00352550774647023,fractional_unload,0.027809424649320937,0.011607260599160209,0.026100596810343726,0.19004691558299797,12,0.0030745666518991062,0.01821286155244165,frac_chord_0.70_floor0.15_op1.5_rp1.0_cap0.95_ts1.00
0.014523834157437687,-1.3203506372322056e-16,0.0,0.026849819888917242,0.2920674590341459,cruise,intendedvalidation2,6.239516631351139e-05,-0.003579024704474243,fractional_unload,0.027809424649320937,0.011607260599160209,0.026912215055230754,0.28848843432967164,12,0.002323857909351047,0.012254102926460616,frac_chord_0.70_floor0.15_op1.5_rp1.0_cap0.95_ts1.00
0.0036309585393594266,-0.2692224169681915,-0.2692224169681915,0.02344952915434802,0.38494661682970055,takeoff,intendedvalidation2,0.0006521179140798958,0.0020836102482941765,fractional_unload,0.027809424649320937,0.011607260599160209,0.024101647068427916,0.3870302270779947,12,0.027809424649320937,0.005412725186297612,frac_chord_0.70_floor0.15_op1.5_rp1.0_cap0.95_ts1.00
